======================================================================
  1000x1000 ATLAS SCAN
  Potential: 1/r   Epsilon: 5e-03
  Grid: 1000x1000   Rows: 400-499
  Workers: 15   Samples/point: 400
  Output: atlas_1000/1_r/block_0400_0500/
======================================================================

  Building symbolic algebra...
  Building symbolic generators for Newtonian (1/r)...
    Level 2: 12 generators (0 zero)
    Level 3: 138 generators (0 zero)
    Total: 156 generators, 156 non-zero
    Compiling evaluator...
    Lambdifying 156 expressions individually...
      20/156  [0.7s]
      40/156  [127.1s]
      60/156  [271.5s]
      80/156  [505.7s]
      100/156  [682.2s]
      120/156  [786.2s]
      140/156  [876.2s]
      156/156  [904.4s]
    Total lambdify time: 905.0s
  Algebra ready (1370.7s)
  Algebra ready (1370.7s, 156 generators)

  Row   39/100  (global  438)  mu=2.2203  [  39000/100000]  row=219.5s  ETA=224m  ranks=[116,116]  gap=[1.1e+05,2.8e+07]
  Row   40/100  (global  439)  mu=2.2252  [  40000/100000]  row=222.3s  ETA=220m  ranks=[116,116]  gap=[1.2e+05,2.6e+07]
  Row   41/100  (global  440)  mu=2.2302  [  41000/100000]  row=220.1s  ETA=216m  ranks=[116,116]  gap=[1.2e+05,2.6e+07]
  Row   42/100  (global  441)  mu=2.2351  [  42000/100000]  row=219.2s  ETA=213m  ranks=[116,116]  gap=[1.3e+05,2.4e+07]
  Row   43/100  (global  442)  mu=2.2401  [  43000/100000]  row=221.2s  ETA=209m  ranks=[116,116]  gap=[9.9e+04,2.7e+07]
  Row   44/100  (global  443)  mu=2.2450  [  44000/100000]  row=220.0s  ETA=205m  ranks=[116,116]  gap=[1.3e+05,2.6e+07]
  Row   45/100  (global  444)  mu=2.2500  [  45000/100000]  row=219.0s  ETA=202m  ranks=[116,116]  gap=[1.2e+05,2.4e+07]
  Row   46/100  (global  445)  mu=2.2550  [  46000/100000]  row=219.6s  ETA=198m  ranks=[116,116]  gap=[1.1e+05,2.6e+07]
  Row   47/100  (global  446)  mu=2.2599  [  47000/100000]  row=219.6s  ETA=194m  ranks=[116,116]  gap=[1.1e+05,2.6e+07]
  Row   48/100  (global  447)  mu=2.2649  [  48000/100000]  row=218.9s  ETA=191m  ranks=[116,116]  gap=[1.3e+05,2.5e+07]
